核心指標,全問卷比對特徵,相關強度 (Cramer's V),原始 p-value
WeaponCarryingAtSchool,EverSmokedDailyFor30Days,0.05074784081618581,2.6399556576591903e-08
WeaponCarryingAtSchool,HealthInGeneral,0.045913255395098294,8.634280395465607e-05
WeaponCarryingAtSchool,StillHaveAsthma,0.044186942254628034,3.0535469657903644e-05
WeaponCarryingAtSchool,FastingToLoseWeight,0.04360856809259998,1.4550218705562541e-06
WeaponCarryingAtSchool,SunscreenUse,0.043072449386101504,0.0003205317448138327
WeaponCarryingAtSchool,LaxativesToLoseWeight,0.041653539101273604,4.197625934936925e-06
WeaponCarryingAtSchool,PEAttendance,0.04163608642617473,0.0008209900734308678
WeaponCarryingAtSchool,AreYouHispanicOrLatino,0.04150287803477101,5.137651003619043e-06
WeaponCarryingAtSchool,NoSodaDrinking,0.04104135442861277,0.002246648561004461
WeaponCarryingAtSchool,MinutesInPEPlayingSports,0.04041149741189198,0.010019264304413567
WeaponCarryingAtSchool,HIVTesting,0.03923567062276395,0.00016439833114596049
WeaponCarryingAtSchool,FruitEating,0.038851438794299406,0.005335702409254212
WeaponCarryingAtSchool,GreenSaladEating,0.037313852994567506,0.009483873966958534
WeaponCarryingAtSchool,FruitJuiceDrinking,0.03651770778172966,0.012477002643854488
WeaponCarryingAtSchool,CarrotEating,0.03277866553968342,0.041746045589137505
WeaponCarryingAtSchool,OtherVegetableEating,0.03202790574558498,0.05198631142320309
WeaponCarryingAtSchool,PhysicalActivity5OrMoreDays,0.03110436460339297,0.10959772625790867
WeaponCarryingAtSchool,HowOldAreYou,0.03094201481624797,0.07049475240287029
WeaponCarryingAtSchool,ComputerUse,0.03059949987737073,0.07818976624638639
WeaponCarryingAtSchool,InjuredWhileExercising,0.030535569313436373,0.005133804400582184
WeaponCarryingAtSchool,TaughtAboutHIV,0.030388428656804356,0.003691628048305855
WeaponCarryingAtSchool,NoerobicExercise,0.029939481214805757,0.17598977898905988
WeaponCarryingAtSchool,WeightLoss,0.027837130620341332,0.02380217376071088
WeaponCarryingAtSchool,CDC_BMI_Group,0.026057194364895724,0.05161569303022531
WeaponCarryingAtSchool,AerobicExercise,0.025834832647707372,0.36702473405323965
WeaponCarryingAtSchool,InWhatGradeAreYou,0.024111735552951145,0.13237912954679948
WeaponCarryingAtSchool,NoMilkDrinking,0.023555796452669597,0.35309001137044327
WeaponCarryingAtSchool,DietPillsToLoseWeight,0.02331322025651614,0.010013987777341695
WeaponCarryingAtSchool,SunProtection,0.021802940736884633,0.2526825474256371
WeaponCarryingAtSchool,PerceptionOfWeight,0.021469037654585365,0.22899206845708264
WeaponCarryingAtSchool,PotatoEating,0.021344349129402213,0.475830250976346
WeaponCarryingAtSchool,TelevisionWatching,0.01938588527592098,0.6021841743503533
WeaponCarryingAtSchool,Asthma,0.01362172238624585,0.325226010874281
WeaponCarryingAtSchool,SportsTeamParticipation,0.01179956866273215,0.6414011970237847
WeaponCarryingAtSchool,ExerciseToLoseWeight,0.006924857314975653,0.4442896908082006
WeaponCarryingAtSchool,ConsumeFewerCaloriesToLoseWeight,0.002500131308920082,0.7824079133697385
